,Age,County,Female,Male,Male_Inverse,Male_inverse,OBJECTID,shape
50,50,Embu,1760,1617,-1617.0,,50,81
51,51,Embu,602,778,-778.0,,51,81
52,52,Embu,740,778,-778.0,,52,81
53,53,Embu,592,616,-616.0,,53,81
54,54,Embu,639,624,-624.0,,54,81
55,55,Embu,1008,980,-980.0,,55,81
56,56,Embu,587,623,-623.0,,56,81
57,57,Embu,640,839,-839.0,,57,81
58,58,Embu,514,483,-483.0,,58,81
59,59,Embu,526,581,-581.0,,59,81
60,60,Embu,1377,1186,-1186.0,,60,81
61,61,Embu,456,527,-527.0,,61,81
62,62,Embu,371,448,-448.0,,62,81
63,63,Embu,314,377,-377.0,,63,81
64,64,Embu,437,395,-395.0,,64,81
65,65,Embu,885,647,-647.0,,65,81
66,66,Embu,372,381,-381.0,,66,81
67,67,Embu,349,377,-377.0,,67,81
68,68,Embu,380,300,-300.0,,68,81
69,69,Embu,381,302,-302.0,,69,81
70,70,Embu,959,787,-787.0,,70,81
71,71,Embu,222,175,-175.0,,71,81
72,72,Embu,258,241,-241.0,,72,81
73,73,Embu,180,199,-199.0,,73,81
74,74,Embu,232,230,-230.0,,74,81
75,75,Embu,431,310,-310.0,,75,81
76,76,Embu,150,179,-179.0,,76,81
77,77,Embu,117,133,-133.0,,77,81
78,78,Embu,188,214,-214.0,,78,81
79,79,Embu,303,223,-223.0,,79,81
80,80+,Embu,2681,1848,-1848.0,,80,81
0,0,Busia,13705,13568,-13568.0,,0,81
1,1,Busia,12390,12320,-12320.0,,1,81
2,2,Busia,13621,13654,-13654.0,,2,81
3,3,Busia,13392,13291,-13291.0,,3,81
4,4,Busia,12852,12980,-12980.0,,4,81
5,5,Busia,12917,12898,-12898.0,,5,81
6,6,Busia,12129,12118,-12118.0,,6,81
7,7,Busia,11708,11518,-11518.0,,7,81
8,8,Busia,11211,10772,-10772.0,,8,81
9,9,Busia,11502,11313,-11313.0,,9,81
10,10,Busia,12257,12102,-12102.0,,10,81
11,11,Busia,9429,9114,-9114.0,,11,81
12,12,Busia,11498,11497,-11497.0,,12,81
13,13,Busia,10457,10373,-10373.0,,13,81
14,14,Busia,9675,9838,-9838.0,,14,81
15,15,Busia,9601,9589,-9589.0,,15,81
16,16,Busia,8734,8816,-8816.0,,16,81
17,17,Busia,8648,9350,-9350.0,,17,81
18,18,Busia,8281,8450,-8450.0,,18,81
19,19,Busia,7516,6926,-6926.0,,19,81
20,20,Busia,9597,7620,-7620.0,,20,81
21,21,Busia,6501,5450,-5450.0,,21,81
22,22,Busia,7920,6155,-6155.0,,22,81
23,23,Busia,6809,5496,-5496.0,,23,81
24,24,Busia,6239,4956,-4956.0,,24,81
25,25,Busia,7106,5681,-5681.0,,25,81
26,26,Busia,5247,4297,-4297.0,,26,81
27,27,Busia,5174,4520,-4520.0,,27,81
28,28,Busia,4747,3845,-3845.0,,28,81
29,29,Busia,4183,3752,-3752.0,,29,81
30,30,Busia,6436,5007,-5007.0,,30,81
31,31,Busia,3561,3175,-3175.0,,31,81
32,32,Busia,4463,3945,-3945.0,,32,81
33,33,Busia,3247,2909,-2909.0,,33,81
34,34,Busia,3293,3031,-3031.0,,34,81
35,35,Busia,5134,4312,-4312.0,,35,81
36,36,Busia,2881,2567,-2567.0,,36,81
37,37,Busia,2961,2567,-2567.0,,37,81
38,38,Busia,2907,2228,-2228.0,,38,81
39,39,Busia,2677,2237,-2237.0,,39,81
40,40,Busia,4859,3454,-3454.0,,40,81
41,41,Busia,2316,2061,-2061.0,,41,81
42,42,Busia,2399,2032,-2032.0,,42,81
43,43,Busia,2114,1662,-1662.0,,43,81
44,44,Busia,1936,1630,-1630.0,,44,81
45,45,Busia,3278,2582,-2582.0,,45,81
46,46,Busia,2265,1844,-1844.0,,46,81
47,47,Busia,2528,1964,-1964.0,,47,81
48,48,Busia,2090,1607,-1607.0,,48,81
49,49,Busia,2134,1837,-1837.0,,49,81
50,50,Busia,3357,2316,-2316.0,,50,81
51,51,Busia,1759,1493,-1493.0,,51,81
52,52,Busia,1723,1464,-1464.0,,52,81
53,53,Busia,1594,1237,-1237.0,,53,81
54,54,Busia,1622,1277,-1277.0,,54,81
55,55,Busia,1997,1546,-1546.0,,55,81
56,56,Busia,1411,1187,-1187.0,,56,81
57,57,Busia,1733,1505,-1505.0,,57,81
58,58,Busia,908,795,-795.0,,58,81
59,59,Busia,1421,1105,-1105.0,,59,81
60,60,Busia,2262,1567,-1567.0,,60,81
61,61,Busia,1210,1014,-1014.0,,61,81
62,62,Busia,840,829,-829.0,,62,81
63,63,Busia,882,819,-819.0,,63,81
64,64,Busia,1104,830,-830.0,,64,81
65,65,Busia,1194,948,-948.0,,65,81
66,66,Busia,588,544,-544.0,,66,81
67,67,Busia,1183,966,-966.0,,67,81
68,68,Busia,598,510,-510.0,,68,81
69,69,Busia,1026,680,-680.0,,69,81
70,70,Busia,1491,926,-926.0,,70,81
71,71,Busia,663,600,-600.0,,71,81
72,72,Busia,646,554,-554.0,,72,81
73,73,Busia,584,618,-618.0,,73,81
74,74,Busia,655,503,-503.0,,74,81
75,75,Busia,715,528,-528.0,,75,81
76,76,Busia,581,517,-517.0,,76,81
77,77,Busia,626,582,-582.0,,77,81
78,78,Busia,429,355,-355.0,,78,81
79,79,Busia,752,445,-445.0,,79,81
80,80+,Busia,3579,2764,-2764.0,,80,81
0,0,Bungoma,25199,25659,-25659.0,,0,81
1,1,Bungoma,23266,23482,-23482.0,,1,81
2,2,Bungoma,25729,25797,-25797.0,,2,81
3,3,Bungoma,25725,25500,-25500.0,,3,81
4,4,Bungoma,24027,24317,-24317.0,,4,81
5,5,Bungoma,24646,24832,-24832.0,,5,81
6,6,Bungoma,23343,22996,-22996.0,,6,81
7,7,Bungoma,22205,22080,-22080.0,,7,81
8,8,Bungoma,21455,20979,-20979.0,,8,81
9,9,Bungoma,21804,21825,-21825.0,,9,81
10,10,Bungoma,21315,21604,-21604.0,,10,81
11,11,Bungoma,17807,17776,-17776.0,,11,81
12,12,Bungoma,19849,19831,-19831.0,,12,81
13,13,Bungoma,18953,18983,-18983.0,,13,81
14,14,Bungoma,17106,17165,-17165.0,,14,81
15,15,Bungoma,17099,16915,-16915.0,,15,81
16,16,Bungoma,15646,15663,-15663.0,,16,81
17,17,Bungoma,16652,17164,-17164.0,,17,81
18,18,Bungoma,14849,15070,-15070.0,,18,81
19,19,Bungoma,14294,14134,-14134.0,,19,81
20,20,Bungoma,15452,13438,-13438.0,,20,81
21,21,Bungoma,12885,11776,-11776.0,,21,81
22,22,Bungoma,13924,11768,-11768.0,,22,81
23,23,Bungoma,12652,10966,-10966.0,,23,81
24,24,Bungoma,11254,9721,-9721.0,,24,81
25,25,Bungoma,12649,10863,-10863.0,,25,81
26,26,Bungoma,9834,8505,-8505.0,,26,81
27,27,Bungoma,9862,8864,-8864.0,,27,81
28,28,Bungoma,8481,7144,-7144.0,,28,81
29,29,Bungoma,8217,7678,-7678.0,,29,81
30,30,Bungoma,10226,8587,-8587.0,,30,81
31,31,Bungoma,7424,6910,-6910.0,,31,81
32,32,Bungoma,8385,7472,-7472.0,,32,81
33,33,Bungoma,7002,6419,-6419.0,,33,81
34,34,Bungoma,6395,5712,-5712.0,,34,81
35,35,Bungoma,8663,8149,-8149.0,,35,81
36,36,Bungoma,5937,5561,-5561.0,,36,81
37,37,Bungoma,5894,5756,-5756.0,,37,81
38,38,Bungoma,5173,4626,-4626.0,,38,81
39,39,Bungoma,5022,4829,-4829.0,,39,81
40,40,Bungoma,6850,5893,-5893.0,,40,81
41,41,Bungoma,4402,4401,-4401.0,,41,81
42,42,Bungoma,4578,4069,-4069.0,,42,81
43,43,Bungoma,4305,3715,-3715.0,,43,81
44,44,Bungoma,3745,3353,-3353.0,,44,81
45,45,Bungoma,5533,4793,-4793.0,,45,81
46,46,Bungoma,4096,3764,-3764.0,,46,81
47,47,Bungoma,4411,3899,-3899.0,,47,81
48,48,Bungoma,3591,3215,-3215.0,,48,81
49,49,Bungoma,4317,4265,-4265.0,,49,81
50,50,Bungoma,4101,3771,-3771.0,,50,81
51,51,Bungoma,3428,3048,-3048.0,,51,81
52,52,Bungoma,3059,2812,-2812.0,,52,81
53,53,Bungoma,3256,2863,-2863.0,,53,81
54,54,Bungoma,2705,2537,-2537.0,,54,81
55,55,Bungoma,3455,2958,-2958.0,,55,81
56,56,Bungoma,2460,2126,-2126.0,,56,81
57,57,Bungoma,2885,2564,-2564.0,,57,81
58,58,Bungoma,1625,1461,-1461.0,,58,81
59,59,Bungoma,2228,2130,-2130.0,,59,81
60,60,Bungoma,2214,1965,-1965.0,,60,81
61,61,Bungoma,2163,1796,-1796.0,,61,81
62,62,Bungoma,1620,1420,-1420.0,,62,81
63,63,Bungoma,1815,1684,-1684.0,,63,81
64,64,Bungoma,1531,1397,-1397.0,,64,81
65,65,Bungoma,1720,1542,-1542.0,,65,81
66,66,Bungoma,1258,1052,-1052.0,,66,81
67,67,Bungoma,1983,1481,-1481.0,,67,81
68,68,Bungoma,942,944,-944.0,,68,81
69,69,Bungoma,1102,932,-932.0,,69,81
70,70,Bungoma,1671,1360,-1360.0,,70,81
71,71,Bungoma,907,835,-835.0,,71,81
72,72,Bungoma,1031,871,-871.0,,72,81
73,73,Bungoma,1310,1110,-1110.0,,73,81
74,74,Bungoma,706,675,-675.0,,74,81
75,75,Bungoma,972,941,-941.0,,75,81
76,76,Bungoma,770,542,-542.0,,76,81
77,77,Bungoma,1107,896,-896.0,,77,81
78,78,Bungoma,513,519,-519.0,,78,81
79,79,Bungoma,905,704,-704.0,,79,81
80,80+,Bungoma,5685,4403,-4403.0,,80,81
0,0,Bomet,14901,15908,-15908.0,,0,81
1,1,Bomet,13008,13742,-13742.0,,1,81
2,2,Bomet,14480,15286,-15286.0,,2,81
3,3,Bomet,14732,15039,-15039.0,,3,81
4,4,Bomet,14876,15388,-15388.0,,4,81
5,5,Bomet,14753,15424,-15424.0,,5,81
6,6,Bomet,14343,14674,-14674.0,,6,81
7,7,Bomet,13420,14011,-14011.0,,7,81
8,8,Bomet,13421,13462,-13462.0,,8,81
9,9,Bomet,14177,14346,-14346.0,,9,81
10,10,Bomet,13263,13611,-13611.0,,10,81
11,11,Bomet,10934,10854,-10854.0,,11,81
12,12,Bomet,13132,13066,-13066.0,,12,81
13,13,Bomet,12488,12005,-12005.0,,13,81
14,14,Bomet,11381,11389,-11389.0,,14,81
15,15,Bomet,10850,11013,-11013.0,,15,81
16,16,Bomet,10456,10392,-10392.0,,16,81
17,17,Bomet,10165,10506,-10506.0,,17,81
18,18,Bomet,9852,10230,-10230.0,,18,81
19,19,Bomet,9203,8845,-8845.0,,19,81
20,20,Bomet,12338,9783,-9783.0,,20,81
21,21,Bomet,8683,7524,-7524.0,,21,81
22,22,Bomet,10124,8178,-8178.0,,22,81
23,23,Bomet,9166,7557,-7557.0,,23,81
24,24,Bomet,8460,7141,-7141.0,,24,81
25,25,Bomet,10001,8617,-8617.0,,25,81
26,26,Bomet,6445,6221,-6221.0,,26,81
27,27,Bomet,6706,6933,-6933.0,,27,81
28,28,Bomet,5619,5350,-5350.0,,28,81
29,29,Bomet,5344,5629,-5629.0,,29,81
30,30,Bomet,7880,7579,-7579.0,,30,81
31,31,Bomet,4925,5570,-5570.0,,31,81
32,32,Bomet,4950,5159,-5159.0,,32,81
33,33,Bomet,3881,4260,-4260.0,,33,81
34,34,Bomet,4075,4186,-4186.0,,34,81
35,35,Bomet,6331,7092,-7092.0,,35,81
36,36,Bomet,3700,3876,-3876.0,,36,81
37,37,Bomet,4254,4281,-4281.0,,37,81
38,38,Bomet,3009,2903,-2903.0,,38,81
39,39,Bomet,3354,3395,-3395.0,,39,81
40,40,Bomet,4840,4523,-4523.0,,40,81
41,41,Bomet,2771,3039,-3039.0,,41,81
42,42,Bomet,2213,2405,-2405.0,,42,81
43,43,Bomet,1840,1889,-1889.0,,43,81
44,44,Bomet,1975,1912,-1912.0,,44,81
45,45,Bomet,3115,2875,-2875.0,,45,81
46,46,Bomet,2222,2089,-2089.0,,46,81
47,47,Bomet,2462,2361,-2361.0,,47,81
48,48,Bomet,4105,3375,-3375.0,,48,81
49,49,Bomet,2027,2396,-2396.0,,49,81
50,50,Bomet,3158,2931,-2931.0,,50,81
51,51,Bomet,1747,2021,-2021.0,,51,81
52,52,Bomet,1689,1801,-1801.0,,52,81
53,53,Bomet,1512,1692,-1692.0,,53,81
54,54,Bomet,1394,1320,-1320.0,,54,81
55,55,Bomet,1998,2119,-2119.0,,55,81
56,56,Bomet,1125,1314,-1314.0,,56,81
57,57,Bomet,1755,1974,-1974.0,,57,81
58,58,Bomet,920,837,-837.0,,58,81
59,59,Bomet,1286,1214,-1214.0,,59,81
60,60,Bomet,2138,1778,-1778.0,,60,81
61,61,Bomet,1132,1517,-1517.0,,61,81
62,62,Bomet,738,883,-883.0,,62,81
63,63,Bomet,831,899,-899.0,,63,81
64,64,Bomet,1049,842,-842.0,,64,81
65,65,Bomet,1137,931,-931.0,,65,81
66,66,Bomet,524,508,-508.0,,66,81
67,67,Bomet,787,859,-859.0,,67,81
68,68,Bomet,550,484,-484.0,,68,81
69,69,Bomet,972,612,-612.0,,69,81
70,70,Bomet,1494,1058,-1058.0,,70,81
71,71,Bomet,573,424,-424.0,,71,81
72,72,Bomet,474,486,-486.0,,72,81
73,73,Bomet,427,467,-467.0,,73,81
74,74,Bomet,603,507,-507.0,,74,81
75,75,Bomet,754,495,-495.0,,75,81
76,76,Bomet,371,378,-378.0,,76,81
77,77,Bomet,379,393,-393.0,,77,81
78,78,Bomet,437,370,-370.0,,78,81
79,79,Bomet,776,453,-453.0,,79,81
80,80+,Bomet,5415,3739,-3739.0,,80,81
0,0,Baringo,9275,9813,,-9813.0,0,81
1,1,Baringo,7225,7488,,-7488.0,1,81
2,2,Baringo,9566,10000,,-10000.0,2,81
3,3,Baringo,9026,9550,,-9550.0,3,81
4,4,Baringo,9477,10099,,-10099.0,4,81
5,5,Baringo,9082,9784,,-9784.0,5,81
6,6,Baringo,9388,9972,,-9972.0,6,81
7,7,Baringo,8621,8794,,-8794.0,7,81
8,8,Baringo,9302,9429,,-9429.0,8,81
9,9,Baringo,8359,9032,,-9032.0,9,81
10,10,Baringo,10191,11048,,-11048.0,10,81
11,11,Baringo,7042,6809,,-6809.0,11,81
12,12,Baringo,8968,10147,,-10147.0,12,81
13,13,Baringo,7453,8008,,-8008.0,13,81
14,14,Baringo,7850,8290,,-8290.0,14,81
15,15,Baringo,7695,8342,,-8342.0,15,81
16,16,Baringo,6793,7492,,-7492.0,16,81
17,17,Baringo,5556,6490,,-6490.0,17,81
18,18,Baringo,6152,7189,,-7189.0,18,81
19,19,Baringo,4445,4779,,-4779.0,19,81
20,20,Baringo,6917,6685,,-6685.0,20,81
21,21,Baringo,4140,4033,,-4033.0,21,81
22,22,Baringo,4924,4599,,-4599.0,22,81
23,23,Baringo,4369,3930,,-3930.0,23,81
24,24,Baringo,4468,3862,,-3862.0,24,81
25,25,Baringo,6369,5395,,-5395.0,25,81
26,26,Baringo,3800,3375,,-3375.0,26,81
27,27,Baringo,3553,3365,,-3365.0,27,81
28,28,Baringo,4138,3178,,-3178.0,28,81
29,29,Baringo,2983,2693,,-2693.0,29,81
30,30,Baringo,5384,4699,,-4699.0,30,81
31,31,Baringo,2205,2395,,-2395.0,31,81
32,32,Baringo,3155,2827,,-2827.0,32,81
33,33,Baringo,2045,1804,,-1804.0,33,81
34,34,Baringo,2258,2072,,-2072.0,34,81
35,35,Baringo,4123,3962,,-3962.0,35,81
36,36,Baringo,2324,2138,,-2138.0,36,81
37,37,Baringo,1906,1938,,-1938.0,37,81
38,38,Baringo,2241,1859,,-1859.0,38,81
39,39,Baringo,1853,1758,,-1758.0,39,81
40,40,Baringo,3680,3206,,-3206.0,40,81
41,41,Baringo,1210,1289,,-1289.0,41,81
42,42,Baringo,1701,1573,,-1573.0,42,81
43,43,Baringo,1126,1131,,-1131.0,43,81
44,44,Baringo,1389,1258,,-1258.0,44,81
45,45,Baringo,2332,2169,,-2169.0,45,81
46,46,Baringo,1335,1220,,-1220.0,46,81
47,47,Baringo,1375,1242,,-1242.0,47,81
48,48,Baringo,1842,1725,,-1725.0,48,81
49,49,Baringo,1298,1438,,-1438.0,49,81
50,50,Baringo,2583,2298,,-2298.0,50,81
51,51,Baringo,805,1026,,-1026.0,51,81
52,52,Baringo,1051,1177,,-1177.0,52,81
53,53,Baringo,774,868,,-868.0,53,81
54,54,Baringo,811,856,,-856.0,54,81
55,55,Baringo,1387,1310,,-1310.0,55,81
56,56,Baringo,826,894,,-894.0,56,81
57,57,Baringo,832,1079,,-1079.0,57,81
58,58,Baringo,654,669,,-669.0,58,81
59,59,Baringo,811,877,,-877.0,59,81
60,60,Baringo,1863,1708,,-1708.0,60,81
61,61,Baringo,623,804,,-804.0,61,81
62,62,Baringo,482,651,,-651.0,62,81
63,63,Baringo,437,492,,-492.0,63,81
64,64,Baringo,591,602,,-602.0,64,81
65,65,Baringo,927,870,,-870.0,65,81
66,66,Baringo,306,309,,-309.0,66,81
67,67,Baringo,424,489,,-489.0,67,81
68,68,Baringo,471,373,,-373.0,68,81
69,69,Baringo,528,467,,-467.0,69,81
70,70,Baringo,1180,1037,,-1037.0,70,81
71,71,Baringo,340,266,,-266.0,71,81
72,72,Baringo,363,337,,-337.0,72,81
73,73,Baringo,279,253,,-253.0,73,81
74,74,Baringo,336,252,,-252.0,74,81
75,75,Baringo,548,438,,-438.0,75,81
76,76,Baringo,208,246,,-246.0,76,81
77,77,Baringo,158,180,,-180.0,77,81
78,78,Baringo,284,216,,-216.0,78,81
79,79,Baringo,415,313,,-313.0,79,81
80,80,Baringo,3215,2290,,-2290.0,80,81
